,time_stats.my_ring_all_reduce.min,time_stats.my_ring_all_reduce.max,time_stats.my_ring_all_reduce.mean,time_stats.my_ring_all_reduce.median,time_stats.my_ring_all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.970523000000001,0.9711940000000004,0.9708526666666679,0.9708410000000022,0.00027405879336755783,0,8,2048,my_ring_all_reduce,8,8
1,0.9966680000000006,0.9984250000000002,0.997785,0.9982619999999998,0.0007926365287231445,0,8,10240,my_ring_all_reduce,8,8
2,1.002267999999999,1.0043160000000007,1.0031960000000009,1.0030040000000027,0.000847043485700351,0,8,18432,my_ring_all_reduce,8,8
3,1.0057230000000055,1.0070990000000002,1.0063413333333358,1.0062020000000012,0.0005703240794086179,0,8,26624,my_ring_all_reduce,8,8
4,1.0142349999999989,1.0165370000000011,1.0154280000000002,1.0155120000000006,0.0009416627138569445,0,8,34816,my_ring_all_reduce,8,8
5,1.0179159999999994,1.0205069999999978,1.019342999999999,1.0196059999999998,0.0010739947237605688,0,8,43008,my_ring_all_reduce,8,8
6,1.0238340000000026,1.025846999999997,1.0251026666666654,1.0256269999999967,0.0009015676470556425,0,8,51200,my_ring_all_reduce,8,8
7,1.0228110000000032,1.0243129999999965,1.0234596666666669,1.0232550000000011,0.0006300356250922052,0,8,59392,my_ring_all_reduce,8,8
8,1.025209999999999,1.0325369999999967,1.0289433333333327,1.0290830000000024,0.002992865108144738,0,8,67584,my_ring_all_reduce,8,8
9,1.0295930000000009,1.030840000000002,1.0303076666666675,1.03049,0.0005251579656533501,0,8,75776,my_ring_all_reduce,8,8
10,1.0294330000000014,1.0302660000000015,1.0298070000000008,1.0297219999999998,0.00034534137699786466,0,8,83968,my_ring_all_reduce,8,8
11,1.0297199999999993,1.0324389999999977,1.0312873333333321,1.0317029999999996,0.0011482811308884153,0,8,92160,my_ring_all_reduce,8,8
12,1.029721,1.0330789999999996,1.031693333333333,1.0322799999999988,0.001432288223631888,0,8,100352,my_ring_all_reduce,8,8
13,1.0317679999999982,1.0334010000000018,1.0327176666666664,1.0329839999999995,0.0006927588966521623,0,8,108544,my_ring_all_reduce,8,8
14,1.0287590000000009,1.0333720000000013,1.0315350000000014,1.032474000000002,0.0019968697169990396,0,8,116736,my_ring_all_reduce,8,8
15,1.0285700000000007,1.0317690000000013,1.029935333333336,1.0294670000000061,0.0013473189014562468,0,8,124928,my_ring_all_reduce,8,8
16,1.029304000000002,1.0309679999999972,1.0302326666666661,1.030425999999999,0.0006929441215226684,0,8,133120,my_ring_all_reduce,8,8
17,1.0291459999999992,1.0309359999999987,1.0298826666666663,1.0295660000000006,0.0007643006970786529,0,8,141312,my_ring_all_reduce,8,8
18,1.0297219999999998,1.0312580000000002,1.0305433333333338,1.030650000000001,0.0006315891773052905,0,8,149504,my_ring_all_reduce,8,8
19,1.0278000000000012,1.0307779999999993,1.029465333333333,1.0298179999999983,0.0012410751611217085,0,8,157696,my_ring_all_reduce,8,8
20,1.0295930000000009,1.033205,1.030818666666667,1.0296580000000004,0.0016876011245417024,0,8,165888,my_ring_all_reduce,8,8
21,1.0329230000000003,1.0368239999999986,1.034350333333333,1.033304,0.0017560486578925977,0,8,174080,my_ring_all_reduce,8,8
22,1.0291470000000018,1.031574,1.0306586666666668,1.0312549999999991,0.0010768139218175312,0,8,182272,my_ring_all_reduce,8,8
23,1.0306860000000007,1.0319620000000014,1.0315260000000015,1.0319300000000022,0.0005941133449665148,0,8,190464,my_ring_all_reduce,8,8
24,1.0296220000000011,1.0338779999999987,1.0316279999999998,1.0313839999999992,0.0017460500183738659,0,8,198656,my_ring_all_reduce,8,8
25,1.032597999999999,1.0339120000000008,1.033325333333334,1.0334660000000022,0.0005455818504647721,0,8,206848,my_ring_all_reduce,8,8
26,1.0323449999999985,1.0342660000000001,1.0332313333333332,1.0330830000000006,0.000791227878399428,0,8,215040,my_ring_all_reduce,8,8
27,1.0306490000000008,1.0323769999999985,1.0312679999999987,1.0307779999999966,0.0007859478354189201,0,8,223232,my_ring_all_reduce,8,8
28,1.0317060000000002,1.034712999999998,1.0331339999999996,1.0329830000000002,0.001232237260702789,0,8,231424,my_ring_all_reduce,8,8
29,1.0348730000000002,1.0379769999999982,1.036281333333333,1.0359940000000005,0.0012833872715928554,0,8,239616,my_ring_all_reduce,8,8
30,1.0321879999999974,1.0344259999999994,1.0335103333333309,1.0339169999999958,0.0009578428309955809,0,8,247808,my_ring_all_reduce,8,8
31,1.0318329999999987,1.0330159999999993,1.0322486666666657,1.0318969999999994,0.000543215324608046,0,8,256000,my_ring_all_reduce,8,8
32,1.5163109999999997,1.518967999999999,1.5173243333333328,1.5166939999999995,0.0011727183047183485,0,8,264192,my_ring_all_reduce,8,8
33,1.5176200000000062,1.5192529999999997,1.5182180000000034,1.5177810000000045,0.0007348011068736324,0,8,272384,my_ring_all_reduce,8,8
34,1.5176219999999976,1.5196060000000016,1.518774333333334,1.519095000000003,0.0008411041684747389,0,8,280576,my_ring_all_reduce,8,8
35,1.517431,1.5195770000000002,1.5186153333333337,1.5188380000000006,0.0008901364439731185,0,8,288768,my_ring_all_reduce,8,8
36,1.5184220000000024,1.5196029999999991,1.5189976666666667,1.518967999999999,0.00048259737071495225,0,8,296960,my_ring_all_reduce,8,8
37,1.5159570000000004,1.5186770000000016,1.5175146666666672,1.5179099999999999,0.001145081171310419,0,8,305152,my_ring_all_reduce,8,8
38,1.5189359999999987,1.5203729999999986,1.5194999999999996,1.5191910000000008,0.0006260207664283289,0,8,313344,my_ring_all_reduce,8,8
39,1.5386460000000024,1.541592999999997,1.5402793333333333,1.5405990000000003,0.0012241574880506446,0,8,321536,my_ring_all_reduce,8,8
40,1.5405020000000031,1.5451100000000006,1.5427956666666685,1.5427750000000016,0.0018812648818153505,0,8,329728,my_ring_all_reduce,8,8
41,1.5417520000000013,1.5443770000000003,1.5429036666666673,1.5425820000000003,0.001095523720519754,0,8,337920,my_ring_all_reduce,8,8
42,1.5409819999999963,1.5428030000000017,1.5420053333333332,1.5422310000000017,0.0007603526959417614,0,8,346112,my_ring_all_reduce,8,8
43,1.5423579999999992,1.5441180000000023,1.5432326666666665,1.5432219999999979,0.0007185565778401799,0,8,354304,my_ring_all_reduce,8,8
