,time_stats.my_ring_all_reduce.min,time_stats.my_ring_all_reduce.max,time_stats.my_ring_all_reduce.mean,time_stats.my_ring_all_reduce.median,time_stats.my_ring_all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.4273580000000147,0.8733989999999995,0.5808490000000047,0.44178999999999996,0.2069479766044236,0,8,2048,my_ring_all_reduce,8,8
1,0.38233100000000103,0.4192630000000004,0.3954320000000006,0.3847020000000002,0.01687883943482674,0,8,10240,my_ring_all_reduce,8,8
2,0.42105199999999926,0.7217249999999995,0.521638666666666,0.4221389999999992,0.1414830990668341,0,8,18432,my_ring_all_reduce,8,8
3,0.422779,0.8717710000000006,0.5725083333333332,0.422974999999999,0.21161067608438172,0,8,26624,my_ring_all_reduce,8,8
4,0.4222050000000018,0.6862019999999993,0.5103533333333338,0.4226530000000003,0.12434391917133981,0,8,34816,my_ring_all_reduce,8,8
5,0.42044499999999996,0.8853670000000002,0.5757716666666668,0.4215030000000002,0.21891738572245828,0,8,43008,my_ring_all_reduce,8,8
6,0.4178560000000002,0.8956740000000009,0.5774050000000005,0.4186850000000004,0.22505042261828076,0,8,51200,my_ring_all_reduce,8,8
7,0.41833200000000126,1.2259449999999987,0.6875796666666663,0.4184619999999986,0.38068178165525834,0,8,59392,my_ring_all_reduce,8,8
8,0.41439400000000026,0.8546509999999998,0.5613390000000006,0.41497200000000156,0.2074030384364377,0,8,67584,my_ring_all_reduce,8,8
9,0.417947000000001,0.7478390000000009,0.5280070000000006,0.4182349999999997,0.1554447423877697,0,8,75776,my_ring_all_reduce,8,8
10,0.4165739999999996,0.8749050000000016,0.5698630000000003,0.4181099999999997,0.21569817824450996,0,8,83968,my_ring_all_reduce,8,8
11,0.41788700000000156,0.6073910000000006,0.4813426666666671,0.4187499999999991,0.08913032758955977,0,8,92160,my_ring_all_reduce,8,8
12,0.4187180000000003,0.8764770000000008,0.5714536666666677,0.419166000000002,0.21568414496563137,0,8,100352,my_ring_all_reduce,8,8
13,0.41900799999999844,0.8734670000000005,0.5705566666666668,0.41919500000000154,0.214189964396613,0,8,108544,my_ring_all_reduce,8,8
14,0.41810799999999926,0.8783299999999982,0.5716863333333329,0.418621000000001,0.21682991725056874,0,8,116736,my_ring_all_reduce,8,8
15,0.4180430000000006,0.8768909999999996,0.5715256666666669,0.4196430000000005,0.2159268859302967,0,8,124928,my_ring_all_reduce,8,8
16,0.4161549999999998,0.8620099999999984,0.5656166666666661,0.418685,0.2095842809918926,0,8,133120,my_ring_all_reduce,8,8
17,0.41676199999999836,0.8801230000000005,0.5715999999999996,0.417915,0.21815921326560325,0,8,141312,my_ring_all_reduce,8,8
18,0.41724400000000106,0.8735010000000011,0.5701186666666673,0.4196109999999999,0.2145258815874882,0,8,149504,my_ring_all_reduce,8,8
19,0.4164440000000004,0.8261699999999992,0.5542673333333334,0.42018800000000056,0.19227029496576425,0,8,157696,my_ring_all_reduce,8,8
20,0.4196750000000011,0.8717069999999967,0.5704483333333327,0.4199630000000002,0.21302207853855923,0,8,165888,my_ring_all_reduce,8,8
21,0.41858999999999924,0.8835469999999996,0.5736603333333329,0.4188439999999998,0.219122987934985,0,8,174080,my_ring_all_reduce,8,8
22,0.41893899999999895,0.8934369999999999,0.5773083333333328,0.4195489999999995,0.22353686264437245,0,8,182272,my_ring_all_reduce,8,8
23,0.41798000000000046,0.8721870000000008,0.5704923333333339,0.4213100000000004,0.2133346762660858,0,8,190464,my_ring_all_reduce,8,8
24,0.4200300000000007,0.8661080000000002,0.5687860000000002,0.4202199999999998,0.21023841670509855,0,8,198656,my_ring_all_reduce,8,8
25,0.41836599999999907,0.867802999999999,0.568571999999999,0.41954699999999867,0.21158881856248143,0,8,206848,my_ring_all_reduce,8,8
26,0.4189750000000004,0.9186839999999993,0.5862899999999999,0.4212110000000002,0.23503982407385016,0,8,215040,my_ring_all_reduce,8,8
27,0.41858899999999905,0.8702690000000003,0.5694903333333332,0.4196130000000003,0.21268304568901508,0,8,223232,my_ring_all_reduce,8,8
28,0.41887600000000114,0.8823940000000002,0.5739583333333336,0.4206049999999991,0.21809809370148617,0,8,231424,my_ring_all_reduce,8,8
29,0.41909799999999997,0.7398390000000036,0.5260656666666682,0.41926000000000113,0.15116058810491131,0,8,239616,my_ring_all_reduce,8,8
30,0.4197410000000009,0.8804450000000001,0.5734566666666677,0.420184000000002,0.21707360758405267,0,8,247808,my_ring_all_reduce,8,8
31,0.41791599999999973,0.9122510000000003,0.583143333333333,0.419262999999999,0.23271491256661891,0,8,256000,my_ring_all_reduce,8,8
32,0.41708400000000256,0.5265559999999996,0.4547910000000008,0.4207330000000002,0.05076737941500012,0,8,264192,my_ring_all_reduce,8,8
33,0.4194199999999992,0.910585000000001,0.6432596666666671,0.5997740000000013,0.20286122795371506,0,8,272384,my_ring_all_reduce,8,8
34,0.41807600000000184,0.8768239999999978,0.5719306666666668,0.42089200000000077,0.2155952086624875,0,8,280576,my_ring_all_reduce,8,8
35,0.4199030000000012,0.5792279999999992,0.4733203333333331,0.42082999999999904,0.07488898551114724,0,8,288768,my_ring_all_reduce,8,8
36,0.42095600000000016,0.5520270000000009,0.4646783333333336,0.4210519999999997,0.06176484696186239,0,8,296960,my_ring_all_reduce,8,8
37,0.42021999999999843,0.7307800000000025,0.5246570000000005,0.4229710000000005,0.14575529801005666,0,8,305152,my_ring_all_reduce,8,8
38,0.4212449999999999,0.8689549999999999,0.5711426666666668,0.42322800000000055,0.2105866765116496,0,8,313344,my_ring_all_reduce,8,8
39,0.43932500000000074,0.7962840000000005,0.5596340000000003,0.44329299999999966,0.16734466056814218,0,8,321536,my_ring_all_reduce,8,8
40,0.44095799999999963,0.7319330000000009,0.539623666666667,0.44598000000000004,0.13599868844057172,0,8,329728,my_ring_all_reduce,8,8
41,0.44456999999999974,0.7196440000000003,0.5367949999999998,0.4461709999999994,0.12929541987505494,0,8,337920,my_ring_all_reduce,8,8
42,0.44374200000000114,0.7567279999999992,0.5483466666666664,0.4445699999999988,0.14734824160772594,0,8,346112,my_ring_all_reduce,8,8
43,0.4430700000000002,0.905049,0.5975210000000002,0.44444400000000045,0.21745585767690861,0,8,354304,my_ring_all_reduce,8,8
44,0.4444119999999998,0.9002500000000009,0.5969123333333338,0.4460750000000007,0.2144931955507113,0,8,362496,my_ring_all_reduce,8,8
45,0.44550199999999995,0.7286660000000001,0.5400180000000002,0.44588600000000045,0.13339437217514086,0,8,370688,my_ring_all_reduce,8,8
46,0.44620499999999946,0.5272300000000005,0.47354366666666636,0.44719599999999904,0.037964126139759906,0,8,378880,my_ring_all_reduce,8,8
47,0.44550400000000084,0.7578510000000006,0.550077666666667,0.4468779999999997,0.1469190037681384,0,8,387072,my_ring_all_reduce,8,8
48,0.4457570000000005,0.7422349999999988,0.5445939999999997,0.44578999999999996,0.13975329198984832,0,8,395264,my_ring_all_reduce,8,8
49,0.4469100000000003,0.8794830000000002,0.5914423333333342,0.447934000000002,0.20367593767933262,0,8,403456,my_ring_all_reduce,8,8
