,time_stats.my_ring_all_reduce.min,time_stats.my_ring_all_reduce.max,time_stats.my_ring_all_reduce.mean,time_stats.my_ring_all_reduce.median,time_stats.my_ring_all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.07299099999999999,0.07299150000000008,0.07299116666666668,0.07299099999999999,2.3570226044154593e-07,0,8,2048,my_ring_all_reduce,8,8
1,0.07347199999999976,0.07350300000000061,0.07349266666666698,0.07350300000000061,1.4613540144922578e-05,0,8,10240,my_ring_all_reduce,8,8
2,0.07353599999999984,0.07353600000000006,0.07353599999999999,0.07353600000000006,1.0477500027681816e-16,0,8,18432,my_ring_all_reduce,8,8
3,0.07299099999999999,0.07299099999999999,0.07299099999999999,0.07299099999999999,0.0,0,8,26624,my_ring_all_reduce,8,8
4,0.07209600000000047,0.07212700000000041,0.07211666666666687,0.07212699999999973,1.4613540144337065e-05,0,8,34816,my_ring_all_reduce,8,8
5,0.07225500000000011,0.07225600000000032,0.07225566666666662,0.0722559999999994,4.7140452067374614e-07,0,8,43008,my_ring_all_reduce,8,8
6,0.07231899999999997,0.0723199999999997,0.07231933333333336,0.07231900000000041,4.714045205625313e-07,0,8,51200,my_ring_all_reduce,8,8
7,0.07215999999999985,0.07217550000000028,0.07216516666666666,0.07215999999999985,7.30677007246456e-06,0,8,59392,my_ring_all_reduce,8,8
8,0.07216000000000077,0.072192,0.0721810000000002,0.07219099999999981,1.485485330303663e-05,0,8,67584,my_ring_all_reduce,8,8
9,0.07219099999999981,0.07219199999999955,0.07219133333333307,0.07219099999999981,4.7140452066720413e-07,0,8,75776,my_ring_all_reduce,8,8
10,0.07219099999999981,0.072192,0.07219133333333344,0.07219100000000049,4.714045207228116e-07,0,8,83968,my_ring_all_reduce,8,8
11,0.07215999999999985,0.07215999999999997,0.07215999999999989,0.07215999999999985,5.887846720064156e-17,0,8,92160,my_ring_all_reduce,8,8
12,0.07212700000000018,0.0721279999999997,0.07212733333333343,0.07212700000000041,4.714045205134659e-07,0,8,100352,my_ring_all_reduce,8,8
13,0.07215899999999965,0.07215950000000021,0.0721591666666665,0.07215899999999965,2.3570226065743361e-07,0,8,108544,my_ring_all_reduce,8,8
14,0.072255,0.07225599999999963,0.07225533333333324,0.07225500000000011,4.7140452058869953e-07,0,8,116736,my_ring_all_reduce,8,8
15,0.07222299999999995,0.07225499999999989,0.07223399999999992,0.07222399999999994,1.4854853303410321e-05,0,8,124928,my_ring_all_reduce,8,8
16,0.07228799999999956,0.07231899999999951,0.07229833333333303,0.07228800000000002,1.4613540144389401e-05,0,8,133120,my_ring_all_reduce,8,8
17,0.07702300000000013,0.07702399999999944,0.07702333333333354,0.07702300000000105,4.7140452024851283e-07,0,8,141312,my_ring_all_reduce,8,8
18,0.07776,0.07779099999999926,0.07777033333333316,0.07776000000000022,1.4613540144124448e-05,0,8,149504,my_ring_all_reduce,8,8
19,0.07763100000000031,0.07763200000000006,0.07763166666666674,0.07763199999999984,4.7140452062140977e-07,0,8,157696,my_ring_all_reduce,8,8
20,0.07772699999999987,0.07772800000000006,0.07772749999999996,0.07772749999999996,4.082482905435895e-07,0,8,165888,my_ring_all_reduce,8,8
21,0.07775900000000002,0.07779199999999992,0.07778066666666666,0.07779100000000005,1.5326085243411317e-05,0,8,174080,my_ring_all_reduce,8,8
22,0.07791899999999988,0.07791999999999996,0.07791933333333353,0.07791900000000078,4.7140452061813874e-07,0,8,182272,my_ring_all_reduce,8,8
23,0.07785599999999977,0.07788799999999992,0.07787699999999988,0.07788699999999994,1.485485330351153e-05,0,8,190464,my_ring_all_reduce,8,8
24,0.07791899999999988,0.07792000000000007,0.07791933333333342,0.07791900000000032,4.7140452077841903e-07,0,8,198656,my_ring_all_reduce,8,8
25,0.07798300000000018,0.07801599999999963,0.0780046666666666,0.07801499999999999,1.532608524325195e-05,0,8,206848,my_ring_all_reduce,8,8
26,0.07814400000000024,0.07817499999999962,0.07815433333333337,0.07814400000000024,1.4613540144229122e-05,0,8,215040,my_ring_all_reduce,8,8
