,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.04710300000000007,0.0642870000000039,0.05639366666666797,0.05779099999999994,0.007084578055342622,0,8,2048,all_reduce,8,8
1,0.06220699999999988,0.16652700000000004,0.1029640000000001,0.08015800000000035,0.04553936631823796,0,8,10240,all_reduce,8,8
2,0.058751000000000206,0.105183,0.08102266666666674,0.07913400000000001,0.019002770891518753,0,8,18432,all_reduce,8,8
3,0.07871900000000005,0.11449500000000035,0.0987723333333335,0.10310300000000007,0.014923059322925666,0,8,26624,all_reduce,8,8
4,0.05814400000000001,0.10396799999999985,0.07559433333333322,0.06467099999999983,0.020239386557458224,0,8,34816,all_reduce,8,8
5,0.05871900000000005,0.07868700000000013,0.06854300000000005,0.06822299999999996,0.008155041630795062,0,8,43008,all_reduce,8,8
6,0.05891100000000006,0.10611099999999987,0.07753533333333325,0.06758399999999984,0.020513926592006227,0,8,51200,all_reduce,8,8
7,0.058206999999999884,0.08086299999999982,0.06969466666666653,0.0700139999999999,0.009252029122786441,0,8,59392,all_reduce,8,8
8,0.05814399999999978,0.08815900000000011,0.07603133333333327,0.08179099999999995,0.012912665005937345,0,8,67584,all_reduce,8,8
9,0.05900699999999984,0.08848099999999977,0.06991966666666652,0.06227099999999996,0.013192314564001046,0,8,75776,all_reduce,8,8
10,0.05947600000000011,0.08243099999999959,0.07374466666666649,0.07932699999999977,0.010168737723478002,0,8,83968,all_reduce,8,8
11,0.061182999999999994,0.09113499999999977,0.07754566666666657,0.08031899999999996,0.01238410565559285,0,8,92160,all_reduce,8,8
12,0.0586869999999999,0.09014300000000003,0.069471,0.05958300000000009,0.014621887520654344,0,8,100352,all_reduce,8,8
13,0.06044700000000012,0.09763099999999986,0.07829233333333331,0.07679899999999998,0.015216986064555809,0,8,108544,all_reduce,8,8
14,0.040223999999999704,0.09824000000000024,0.06678333333333338,0.0618860000000002,0.023936749561199098,0,8,116736,all_reduce,8,8
15,0.059007000000000066,0.081375,0.0720306666666667,0.07571000000000004,0.009495085617775567,0,8,124928,all_reduce,8,8
16,0.05974199999999973,0.18095899999999984,0.11832399999999993,0.11427100000000019,0.049569549651642696,0,8,133120,all_reduce,8,8
17,0.03977599999999984,0.11644799999999987,0.09043166666666654,0.11507099999999991,0.03582337650504519,0,8,141312,all_reduce,8,8
18,0.050782999999999905,0.17785599999999976,0.09737566666666665,0.06348800000000028,0.05714407112047764,0,8,149504,all_reduce,8,8
19,0.059135999999999966,0.13657600000000003,0.10356233333333331,0.11497499999999991,0.03262846528552776,0,8,157696,all_reduce,8,8
20,0.05894299999999976,0.18332600000000002,0.12032933333333327,0.11871900000000005,0.05079191242926607,0,8,165888,all_reduce,8,8
21,0.059774999999999634,0.18585500000000002,0.12154566666666657,0.11900700000000007,0.05150323757676701,0,8,174080,all_reduce,8,8
22,0.059231,0.11795200000000022,0.08273033333333334,0.07100799999999981,0.025365314694589584,0,8,182272,all_reduce,8,8
23,0.061693999999999964,0.1843499999999999,0.10329466666666666,0.06384000000000015,0.05732147140082455,0,8,190464,all_reduce,8,8
24,0.06099200000000019,0.18547100000000047,0.10938633333333353,0.08169599999999991,0.05445990133626369,0,8,198656,all_reduce,8,8
25,0.06038299999999981,0.17727900000000046,0.1047460000000001,0.07657600000000002,0.051712863512541,0,8,206848,all_reduce,8,8
26,0.06022299999999996,0.17961499999999977,0.11351400000000013,0.10070400000000064,0.049576099691954915,0,8,215040,all_reduce,8,8
27,0.06019099999999981,0.17772700000000033,0.11142300000000009,0.09635100000000012,0.049153173597100384,0,8,223232,all_reduce,8,8
28,0.05926299999999992,0.11379199999999946,0.07994599999999977,0.0667829999999999,0.024128840101974577,0,8,231424,all_reduce,8,8
29,0.05958400000000029,0.18979200000000038,0.10306133333333356,0.05980799999999999,0.061327910716809056,0,8,239616,all_reduce,8,8
30,0.05996799999999985,0.159712,0.09326866666666668,0.06012600000000021,0.04698257584348572,0,8,247808,all_reduce,8,8
31,0.05884700000000021,0.17993499999999996,0.09970033333333338,0.06031899999999996,0.056737659435530254,0,8,256000,all_reduce,8,8
32,0.0601269999999995,0.18832000000000015,0.10301799999999987,0.06060699999999997,0.06031794096286795,0,8,264192,all_reduce,8,8
33,0.05804800000000023,0.17523100000000022,0.09730100000000008,0.058623999999999794,0.05510533319017326,0,8,272384,all_reduce,8,8
34,0.05830299999999988,0.18233400000000075,0.09984966666666696,0.05891200000000026,0.058325761342842834,0,8,280576,all_reduce,8,8
35,0.058494999999999894,0.15971099999999933,0.1049273333333331,0.09657600000000002,0.04174109278503459,0,8,288768,all_reduce,8,8
36,0.07343999999999982,0.14655999999999994,0.1118823333333333,0.11564700000000017,0.02996957497566867,0,8,296960,all_reduce,8,8
37,0.0933119999999999,0.1129590000000003,0.10172766666666683,0.09891200000000026,0.00826426590139083,0,8,305152,all_reduce,8,8
38,0.05692699999999968,0.19004699999999958,0.10919366666666641,0.08060699999999997,0.05798351336563016,0,8,313344,all_reduce,8,8
39,0.07955000000000019,0.13561500000000024,0.11173200000000012,0.12003099999999996,0.023628741072403033,0,8,321536,all_reduce,8,8
40,0.06995100000000003,0.08822299999999995,0.08020166666666667,0.08243100000000005,0.007624256961974843,0,8,329728,all_reduce,8,8
41,0.0639359999999997,0.11110300000000006,0.08979133333333328,0.09433500000000004,0.019522041428999215,0,8,337920,all_reduce,8,8
